OBJIDsic,Region_unique,yearGDP,GDPpcRegion
992,MLI_Mali_992,2005,870.49
991,MKD_Macedonia_991,2010,7626.39
990,MHL_Rongelap_990,,uninhabited
275,MHL_Marshall_Islands_275,2010,3126.50
989,MHL_Majuro_989,2010,3126.52
988,MHL_Enewetak_988,2010,3126.52
987,MHL_Ailinginae_987,,uninhabited
986,MEX_Zacatecas_986,2010,8200.00
985,MEX_Yucatan_985,2010,9599.41
984,MEX_Veracruz_984,2010,8284.00
483,MEX_Ventana_483,,
968,MEX_Valle_de_Mexiko_968,2010,8286.94
983,MEX_Tlaxcala_983,2010,6221.00
455,MEX_Tiburon_455,2010,12928.00
982,MEX_Tamaulipas_982,2010,12718.00
981,MEX_Tabasco_981,2010,22159.00
980,MEX_Sonora_980,2010,12928.00
979,MEX_Socorro_979,2010,11940.00
416,MEX_Smith_416,,
977,MEX_Sinaloa_977,2010,10247.00
394,MEX_Santa_Cruz_394,,
392,MEX_Santa_Catalina_392,2010,12689.00
978,MEX_San_Luis_Potosi_978,2010,9903.81
387,MEX_San_Jose_387,2010,12689.00
976,MEX_Quintana_Roo_976,2010,14307.00
975,MEX_Queretaro_975,2010,13624.14
974,MEX_Puebla_974,2010,7866.00
363,MEX_Piojo_363,,uninhabited
973,MEX_Oaxaca_973,2010,5479.00
972,MEX_Nuevo_Leon_972,2010,21620.74
971,MEX_Nayarit_971,2010,7347.00
970,MEX_Morelos_970,2010,8380.00
287,MEX_Mitlan_287,,
969,MEX_Michoacan_969,2010,7416.00
284,MEX_Mexico_State_284,2010,8286.94
1369,MEX_Mexico_Baja_California_1369,2010,12689.00
283,MEX_Mexico_283,2010,11940.00
281,MEX_Mejia_281,,
210,MEX_Jorobado_210,,
967,MEX_Jalisco_967,2010,11486.00
966,MEX_Hidalgo_966,2010,7824.00
964,MEX_Guerrero_964,2010,5888.00
965,MEX_Guanajuato_965,2010,9607.00
164,MEX_Guadalupe_Baja_California_164,2010,11940.00
157,MEX_Gemelito_West_157,,
143,MEX_Flecha_143,,
963,MEX_Durango_963,2010,10306.00
962,MEX_Distrito_Federal_962,2010,26176.00
101,MEX_Coronadito_101,,
961,MEX_Colima_961,2010,11467.00
960,MEX_Coahuila_960,2010,15162.00
958,MEX_Chihuahua_958,2010,11682.00
959,MEX_Chiapas_959,2010,5130.00
76,MEX_Cerralvo_76,,
70,MEX_Carmen_70,,
957,MEX_Campeche_957,2010,84158.00
63,MEX_Cabeza_de_Caballo_63,,
956,MEX_Baja_California_Sur_956,2010,12689.00
955,MEX_Baja_California_Norte_955,2010,11540.14
14,MEX_Angel_de_la_Guarda_14,,uninhabited
954,MEX_Aguascalientes_954,2010,12449.00
271,MDV_Maldives_271,2010,7013.40
953,MDG_Madagascar_953,2010,414.10
952,MDA_Moldova_952,2010,3845.60
951,MAR_Morocco_951,2010,3621.14
950,LVA_Latvia_950,2005,12030.63
949,LUX_Luxemburg_949,2005,73242.97
948,LTU_Lithuania_948,2010,14136.06
947,LSO_Lesotho_947,2000,1078.83
946,LKA_Sri_Lanka_946,2010,4065.56
945,LIE_Liechtenstein_945,2010,140707.10
944,LCA_St_Lucia_944,2010,7059.60
943,LBY_Libya_943,2010,12378.50
942,LBR_Liberia_942,2010,326.60
250,LBN_Lebanon_250,2010,8763.80
941,LAO_Laos_941,2010,1122.90
233,KWT_Kuwait_233,2010,37724.30
940,KOR_South_Korea_940,2010,26613.77
434,KNA_St_Kitts_and_Nevis_434,2010,13227.00
938,KNA_Saint_Kitts_938,2010,13227.00
939,KNA_Nevis_939,2010,13227.00
937,KIR_Teraina_937,2010,1539.10
936,KIR_Tabuaeran_936,2010,1539.10
935,KIR_Sydney_935,,uninhabited
929,KIR_Palmyra_929,,uninhabited
317,KIR_Northern_Line_Islands_Palmyra_Tabuaeran_Teraina_317,2010,1539.10
934,KIR_McKean_934,,uninhabited
928,KIR_Kiritimati_928,2010,1539.10
228,KIR_Kiribati_228,2010,1539.10
933,KIR_Hull_933,,uninhabited
932,KIR_Gardner_932,,uninhabited
931,KIR_Enderbury_931,,uninhabited
72,KIR_Caroline_Atoll_72,,
930,KIR_Canton_930,2010,1539.10
66,KHM_Cambodia_66,2010,782.70
